pfaf_id,FID,area_km2,ISO,Admin0,Admin1,rfr_score,cfr_score,Resilience_Index, NormalizedLackofResilience ,Alert_level,Days_until_peak,GloFAS_2yr,GloFAS_5yr,GloFAS_20yr,Alert_Score,PeakArrivalScore,TwoYScore,FiveYScore,TwtyYScore,Sum_Score_x,GFMS_TotalArea_km,GFMS_perc_Area,GFMS_MeanDepth,GFMS_MaxDepth,GFMS_Duration,GFMS_area_score,GFMS_perc_area_score,MeanD_Score,MaxD_Score,Duration_Score,Sum_Score_y,MOM_Score,Hazard_Score,Scaled_Riverine_Risk,Scaled_Coastal_Risk,Severity,Alert,Flag
114290,134.0,22874.3362,KEN,Kenya,Isiolo,1.454697408,0.0,0.42,0.81,1.0,7.0,100.0,2.0,-9999.0,3.0,4.0,10.0,0.2,-999.9,-4649.4,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-4649.4,-4649.4,29.093948159999997,0.0,,,
115424,224.0,23227.8565,KEN,Kenya,West Pokot,4.0011769,0.0,0.42,0.81,0.0,6.0,-9999.0,-9999.0,-9999.0,0.0,5.0,-999.9,-999.9,-999.9,-5989.4,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-5989.4,-5989.4,80.023538,0.0,,,
115429,229.0,9962.252449,KEN,Kenya,Baringo,1.054080705,0.0,0.42,0.81,0.0,7.0,-9999.0,-9999.0,-9999.0,0.0,4.0,-999.9,-999.9,-999.9,-5991.4,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-5991.4,-5991.4,21.081614100000003,0.0,,,
117203,307.0,4842.048556,KEN,Kenya,Tana River,4.026444102,0.0,0.42,0.81,1.0,2.0,100.0,-9999.0,-9999.0,3.0,9.0,10.0,-999.9,-999.9,-3955.6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-3955.6,-3955.6,80.52888204,0.0,,,
117207,311.0,1925.744804,KEN,Kenya,Tana River,4.052674257,0.0,0.42,0.81,1.0,1.0,100.0,-9999.0,-9999.0,3.0,10.0,10.0,-999.9,-999.9,-3953.6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-3953.6,-3953.6,81.05348513999999,0.0,,,
117209,313.0,40534.82439,KEN,Kenya,Kitui,2.518664527,0.0,0.42,0.81,1.0,1.0,100.0,-9999.0,-9999.0,3.0,10.0,10.0,-999.9,-999.9,-3562.68,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-3562.68,-3562.68,50.37329054,0.0,,,
117324,319.0,7242.387326,KEN,Kenya,Taita Taveta,0.646818318,0.0,0.42,0.81,0.0,6.0,2.0,-9999.0,-9999.0,0.0,5.0,0.2,-999.9,-999.9,-3989.2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-3989.2,-3989.2,12.936366360000001,0.0,,,
117325,320.0,4222.56379,KEN,Kenya,Makueni,3.479467287,0.0,0.42,0.81,0.0,7.0,3.0,2.0,-9999.0,0.0,4.0,0.3,0.2,-999.9,-1990.8,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1990.8,-1990.8,69.58934574,0.0,,,
117329,324.0,7307.740959,KEN,Kenya,Machakos,1.195292836,0.0,0.42,0.81,1.0,6.0,33.0,11.0,3.0,3.0,5.0,3.3,1.1,0.3,25.4,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,25.4,25.4,23.90585672,0.0,0.13627215137085041,Information,
172972,3469.0,21393.61879,KEN,Kenya,Bungoma,3.17042827,0.0,0.42,0.81,0.0,7.0,-9999.0,-9999.0,-9999.0,0.0,4.0,-999.9,-999.9,-999.9,-5990.9,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-5990.9,-5990.9,63.4085654,0.0,,,
