Point No,Station,Basin,Country,Lat,Lon,Upstream area,Forecast Date,max_EPS,GloFAS_2yr,GloFAS_5yr,GloFAS_20yr,Alert_level,Days_until_peak,pfaf_id
1461,Kubor,Nile,Sudan,14.075,35.975,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,172263
1463,Sofara,Niger,Mali,14.025,-4.225,129400.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,2,142810
1464,Dargol At Tera,Niger,Niger,14.025,0.775,2612.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,2,142732
1469,Dargol A Kakassi,Niger,Niger,13.825,1.475,15862.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,142732
1466,Naidupet,East Flowing Rivers Between Pennar And Kanyakumari,India,13.925,79.875,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,453750
1467,Majia At Tsernaoua,Niger,Niger,13.875,5.275,2606.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,142450
1470,Na,Nile,Sudan,13.825,32.425,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,172551
1471,Mahina,Senegal,Mali,13.725,-10.875,38400.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,146801
1473,Garbe-Kourou,Niger,Niger,13.725,1.625,38750.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,142721
1492,Boss Bangou,Niger,Niger,13.325,1.275,37000.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,142721
1474,Na,Nile,Sudan,13.725,33.625,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,172451
1477,Sennar U S,Nile,Sudan,13.575,33.625,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,172451
1503,Na,Nile,Sudan,13.125,33.975,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,6,172451
1475,Hidroelrica Jcv,Coastal,Honduras,13.675,-87.375,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,15,771130
1476,Oualia,Senegal,Mali,13.625,-10.375,84400.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,146910
1478,Coco En Corriente Lira,Coco,Nicaragua,13.525,-85.825,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,15,753760
