pfaf_id,FID,area_km2,ISO,Admin0,Admin1,rfr_score,cfr_score,Resilience_Index, NormalizedLackofResilience ,Alert,Flag
731609,13667.0,5927.459762,USA,United States,New York,1.542981275,0.0,0.77,0.32,Information,
731801,13668.0,2601.235597,USA,United States,Virginia,0.179088641,0.0,0.77,0.32,Information,
731802,13669.0,2577.540564,USA,United States,Maryland,0.145532728,0.0,0.77,0.32,Information,
731803,13670.0,851.7480964,USA,United States,Maryland,0.330176058,0.0,0.77,0.32,Information,
731804,13671.0,7931.620266,USA,United States,Virginia,0.468638499,0.0,0.77,0.32,Information,
731805,13672.0,5950.44107,USA,United States,Maryland,0.180206137,0.0,0.77,0.32,Information,
731808,13675.0,3491.385761,USA,United States,Maryland,0.921658979,0.0,0.77,0.32,Information,
731902,13677.0,5044.922768,USA,United States,Virginia,0.248647851,0.0,0.77,0.32,Information,
731904,13678.0,3806.076072,USA,United States,Virginia,0.063431277,0.0,0.77,0.32,Information,
731905,13679.0,2469.644673,USA,United States,Virginia,0.31707822,0.74926561,0.77,0.32,Information,
731906,13680.0,18285.23299,USA,United States,Virginia,0.22926932,0.0,0.77,0.32,Information,
731908,13682.0,4176.36447,USA,United States,Virginia,0.123633452,0.0,0.77,0.32,Information,
732120,13683.0,12023.0006,USA,United States,Virginia,0.664625592,0.0,0.77,0.32,Information,
732130,13684.0,1071.527925,USA,United States,North Carolina,0.020389536,1.156745292,0.77,0.32,Information,
732140,13685.0,24526.70904,USA,United States,Virginia,1.157822467,0.0,0.77,0.32,Information,
732160,13686.0,11736.72523,USA,United States,North Carolina,0.193638453,0.0,0.77,0.32,Information,
732170,13687.0,6064.184457,USA,United States,North Carolina,1.001679077,3.121058091,0.77,0.32,Information,
732180,13688.0,22892.00479,USA,United States,North Carolina,0.956603302,0.0,0.77,0.32,Information,
732190,13689.0,1855.436475,USA,United States,North Carolina,2.894082399,2.692584357,0.77,0.32,Information,
732201,13690.0,371.4893589,USA,United States,South Carolina,1.374132672,0.0,0.77,0.32,Information,
732202,13691.0,4208.154707,USA,United States,North Carolina,4.009990981,0.0,0.77,0.32,Information,
732203,13692.0,124.7803976,USA,United States,South Carolina,4.004968576,0.0,0.77,0.32,Information,
732207,13696.0,8495.573898,USA,United States,South Carolina,0.360486506,0.0,0.77,0.32,Information,
732209,13698.0,12227.48738,USA,United States,North Carolina,0.256159585,0.0,0.77,0.32,Information,
732300,13699.0,5885.237179,USA,United States,South Carolina,0.13416299,0.472304341,0.77,0.32,Information,
732401,13700.0,3054.152597,USA,United States,South Carolina,0.728567322,0.0,0.77,0.32,Information,
732402,13701.0,22160.46293,USA,United States,South Carolina,0.668301949,0.0,0.77,0.32,Information,
732403,13702.0,3958.781779,USA,United States,South Carolina,0.37194729,0.0,0.77,0.32,,
732409,13708.0,5488.78413,USA,United States,North Carolina,1.014280186,0.0,0.77,0.32,Information,
732520,13709.0,27233.63943,USA,United States,Georgia,0.878719697,0.0,0.77,0.32,Information,
732541,13710.0,3080.579564,USA,United States,Georgia,0.230529688,1.206592217,0.77,0.32,,
732544,13713.0,13900.14631,USA,United States,Georgia,0.244347296,0.0,0.77,0.32,Information,
732547,13716.0,11084.89779,USA,United States,Georgia,0.219045903,0.0,0.77,0.32,Information,
732548,13717.0,1431.560023,USA,United States,Georgia,0.028842078,0.0,0.77,0.32,Information,
732549,13718.0,1171.684835,USA,United States,Georgia,0.00198041,0.0,0.77,0.32,Information,
732560,13720.0,24728.76705,USA,United States,Florida,2.070338409,1.094654644,0.77,0.32,Information,
732572,13721.0,7590.356079,USA,United States,Florida,2.431961078,0.0,0.77,0.32,Information,
732574,13722.0,17094.53209,USA,United States,Florida,1.054277664,0.0,0.77,0.32,Information,
732576,13724.0,5792.650825,USA,United States,Florida,0.547649387,0.0,0.77,0.32,Information,
732579,13726.0,2185.76253,USA,United States,Florida,3.241235456,0.0,0.77,0.32,Information,
732580,13727.0,26618.91563,USA,United States,Georgia,1.240841579,0.0,0.77,0.32,Information,
732590,13728.0,18087.85623,USA,United States,Florida,0.699772704,0.055035675,0.77,0.32,Information,
732601,13729.0,1188.772415,USA,United States,Florida,2.41129763,0.0,0.77,0.32,Information,
732602,13730.0,3353.065349,USA,United States,Florida,0.99189253,0.0,0.77,0.32,Information,
732603,13731.0,1620.33695,USA,United States,Florida,0.097024286,0.0,0.77,0.32,Information,
732604,13732.0,22036.65242,USA,United States,Georgia,0.327098524,0.0,0.77,0.32,Information,
732605,13733.0,5265.303582,USA,United States,Alabama,0.818971795,0.0,0.77,0.32,Information,
732606,13734.0,1242.429583,USA,United States,Alabama,0.367104062,0.0,0.77,0.32,Information,
732607,13735.0,2581.561962,USA,United States,Alabama,0.332639718,0.0,0.77,0.32,Information,
732608,13736.0,1183.923651,USA,United States,Georgia,0.029309723,0.0,0.77,0.32,Information,
732609,13737.0,12387.35221,USA,United States,Georgia,0.328624441,0.0,0.77,0.32,Information,
732701,13738.0,3565.770709,USA,United States,Florida,2.852269583,1.692941084,0.77,0.32,Information,
732702,13739.0,11916.88683,USA,United States,Alabama,0.176366631,0.0,0.77,0.32,Information,
732703,13740.0,2151.86918,USA,United States,Florida,2.325455975,3.002826437,0.77,0.32,Information,
732704,13741.0,3517.447098,USA,United States,Florida,0.171169405,0.0,0.77,0.32,Information,
732705,13742.0,2408.821939,USA,United States,Florida,0.217025493,2.170100895,0.77,0.32,Information,
732706,13743.0,11008.90778,USA,United States,Alabama,0.258409048,0.553895992,0.77,0.32,Information,
732707,13744.0,537.6936213,USA,United States,Florida,0.421275184,1.666438463,0.77,0.32,Information,
732709,13746.0,2180.565072,USA,United States,Alabama,0.194065298,1.753478852,0.77,0.32,Information,
732810,13747.0,1399.633542,USA,United States,Alabama,0.612772894,0.0,0.77,0.32,Information,
732821,13748.0,9322.757316,USA,United States,Alabama,0.333623135,0.0,0.77,0.32,Information,
732822,13749.0,2542.035444,USA,United States,Mississippi,0.127773134,0.0,0.77,0.32,Information,
732823,13750.0,232.0313467,USA,United States,Alabama,0.834075211,0.0,0.77,0.32,Information,
732824,13751.0,23758.1067,USA,United States,Mississippi,0.281571115,0.0,0.77,0.32,Information,
732825,13752.0,3861.559254,USA,United States,Alabama,0.816309385,0.0,0.77,0.32,Information,
732826,13753.0,1087.04987,USA,United States,Alabama,0.434295904,0.0,0.77,0.32,Information,
732827,13754.0,2052.013146,USA,United States,Alabama,0.03547409,0.0,0.77,0.32,Information,
732828,13755.0,6182.121617,USA,United States,Alabama,0.819070006,0.0,0.77,0.32,Information,
732830,13757.0,9646.978535,USA,United States,Alabama,0.106178142,0.0,0.77,0.32,Information,
732840,13758.0,4779.698874,USA,United States,Alabama,0.176125416,0.0,0.77,0.32,Information,
732850,13759.0,6190.105346,USA,United States,Alabama,1.119657564,0.0,0.77,0.32,Information,
732860,13760.0,12197.99195,USA,United States,Alabama,0.201944352,0.0,0.77,0.32,Information,
732870,13761.0,15967.71909,USA,United States,Alabama,1.382090609,0.0,0.77,0.32,Information,
732880,13762.0,5615.591873,USA,United States,Georgia,1.063498582,0.0,0.77,0.32,Information,
732890,13763.0,4838.528068,USA,United States,Georgia,0.795120641,0.0,0.77,0.32,Information,
732900,13764.0,25644.43792,USA,United States,Mississippi,0.383963902,0.855857087,0.77,0.32,Information,
741001,13765.0,194.1625949,USA,United States,Mississippi,1.61405268,0.60659087,0.77,0.32,Information,
741002,13766.0,1561.902337,USA,United States,Mississippi,0.003031536,0.0,0.77,0.32,Information,
741003,13767.0,2267.186735,USA,United States,Mississippi,1.110377661,2.320247395,0.77,0.32,Information,
741004,13768.0,1373.581515,USA,United States,Mississippi,3.331462692,0.571681191,0.77,0.32,Information,
741006,13770.0,20956.47184,USA,United States,Mississippi,1.674386487,0.067522651,0.77,0.32,Information,
741007,13771.0,18.26483566,USA,United States,Louisiana,2.601300521,4.027547811,0.77,0.32,Watch,2.0
741008,13772.0,13776.45342,USA,United States,Louisiana,2.206156334,3.58969456,0.77,0.32,Information,
742100,13773.0,5490.83963,USA,United States,Louisiana,3.266945154,4.008260852,0.77,0.32,Information,
742222,13776.0,7792.359833,USA,United States,Louisiana,0.516387291,0.0,0.77,0.32,Information,
742224,13778.0,5481.662634,USA,United States,Louisiana,0.84467029,0.0,0.77,0.32,Information,
742225,13779.0,556.4807539,USA,United States,Louisiana,1.617318012,0.0,0.77,0.32,Information,
742226,13780.0,7027.69666,USA,United States,Louisiana,1.044236612,0.0,0.77,0.32,Information,
742227,13781.0,14251.66535,USA,United States,Arkansas,2.265160346,0.0,0.77,0.32,Information,
742228,13782.0,8316.711561,USA,United States,Arkansas,0.134409726,0.0,0.77,0.32,Information,
742229,13783.0,19092.48518,USA,United States,Arkansas,0.371186903,0.0,0.77,0.32,Information,
742231,13784.0,5507.514098,USA,United States,Louisiana,2.606914448,0.0,0.77,0.32,Information,
742232,13785.0,3529.541283,USA,United States,Louisiana,0.098390095,0.0,0.77,0.32,Information,
742233,13786.0,3406.75718,USA,United States,Louisiana,0.114046844,0.0,0.77,0.32,Information,
742234,13787.0,6688.665649,USA,United States,Louisiana,0.313026011,0.0,0.77,0.32,Information,
742235,13788.0,242.9780387,USA,United States,Louisiana,2.856368419,0.0,0.77,0.32,Information,
742236,13789.0,9127.568455,USA,United States,Texas,0.882720932,0.0,0.77,0.32,Information,
742237,13790.0,594.0197414,USA,United States,Louisiana,3.86313421,0.0,0.77,0.32,Information,
742238,13791.0,9809.412792,USA,United States,Texas,0.278939541,0.0,0.77,0.32,Information,
742239,13792.0,1979.630943,USA,United States,Arkansas,0.646053014,0.0,0.77,0.32,Information,
742240,13793.0,10840.22983,USA,United States,Oklahoma,1.12657439,0.0,0.77,0.32,Information,
742250,13794.0,22129.77342,USA,United States,Oklahoma,0.213291786,0.0,0.77,0.32,Information,
742260,13795.0,20593.6861,USA,United States,Oklahoma,0.440959879,0.0,0.77,0.32,Information,
742271,13796.0,7886.201077,USA,United States,Oklahoma,0.023614813,0.0,0.77,0.32,Information,
742272,13797.0,3846.225664,USA,United States,Texas,0.698728676,0.0,0.77,0.32,Information,
742274,13799.0,9039.80525,USA,United States,Texas,1.144987441,0.0,0.77,0.32,Information,
742276,13801.0,4882.818401,USA,United States,Oklahoma,0.001466881,0.0,0.77,0.32,Information,
742277,13802.0,1745.200497,USA,United States,Oklahoma,0.050603424,0.0,0.77,0.32,Information,
