,pfaf_id,1-Day_TotalArea_km2,1-Day_perc_Area,1-Day_CS_TotalArea_km2,1-Day_CS_perc_Area,2-Day_TotalArea_km2,2-Day_perc_Area,3-Day_TotalArea_km2,3-Day_perc_Area
321,117325,152.938,3.622,31.062,0.736,2.812,0.067,0.0,0.0
322,117326,148.875,1.615,69.188,0.75,0.25,0.003,0.0,0.0
323,117327,20.312,2.737,2.0,0.27,0.0,0.0,0.0,0.0
324,117328,20.438,0.703,6.062,0.208,0.0,0.0,0.0,0.0
325,117329,277.562,3.798,82.0,1.122,0.188,0.003,0.0,0.0
326,117331,1.125,0.136,1.0,0.121,0.0,0.0,0.0,0.0
327,117332,220.688,2.854,96.875,1.253,1.625,0.021,0.0,0.0
328,117333,18.25,1.318,4.625,0.334,0.0,0.0,0.0,0.0
329,117334,164.375,4.182,85.875,2.185,0.0,0.0,0.0,0.0
330,117335,0.062,0.056,0.062,0.056,0.0,0.0,0.0,0.0
331,117336,43.938,0.999,5.75,0.131,0.0,0.0,0.0,0.0
332,117337,53.188,1.645,10.562,0.327,0.0,0.0,0.0,0.0
333,117338,71.625,1.066,33.688,0.501,0.0,0.0,0.0,0.0
334,117339,85.812,2.232,59.438,1.546,0.0,0.0,0.062,0.002
335,117340,134.875,4.323,29.938,0.96,0.0,0.0,0.0,0.0
336,117341,94.312,3.089,73.562,2.409,33.688,1.103,0.0,0.0
337,117342,3.438,0.276,3.438,0.276,0.0,0.0,0.0,0.0
338,117343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
339,117344,26.812,0.13,8.125,0.039,0.0,0.0,0.0,0.0
340,117345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
341,117346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
342,117347,13.625,0.199,4.938,0.072,0.0,0.0,0.0,0.0
343,117348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
344,117349,34.438,0.518,11.25,0.169,0.0,0.0,0.0,0.0
345,117350,35.875,0.46,30.062,0.386,0.312,0.004,0.0,0.0
346,117360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
347,117361,52.688,0.745,32.125,0.454,0.75,0.011,0.0,0.0
348,117362,7.438,0.188,7.438,0.188,0.0,0.0,0.0,0.0
349,117363,72.5,4.333,72.125,4.31,0.0,0.0,0.0,0.0
350,117364,4.375,0.157,4.375,0.157,0.0,0.0,0.0,0.0
351,117365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
352,117366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
353,117367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
354,117368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
355,117369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
356,117370,4.188,1.711,3.062,1.251,0.0,0.0,0.0,0.0
357,117380,40.75,0.231,38.188,0.216,0.312,0.002,0.0,0.0
358,117390,747.188,9.581,577.062,7.399,23.312,0.299,1.375,0.018
359,117400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360,117410,111.875,1.971,41.562,0.732,1.625,0.029,0.0,0.0
361,117420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
